교육정도별,계_계,계_초졸이하,계_중졸,계_고졸,계_대졸이상,남자_계,남자_초졸이하,남자_중졸,남자_고졸,남자_대졸이상,여자_계,여자_초졸이하,여자_중졸,여자_고졸,여자_대졸이상
2009.08_임금근로자,16609,1298,1337,6660,7313,9588,497,680,3819,4594,7020,802,658,2842,2719
2009.08_정규직,10826,419,613,4133,5661,6898,177,303,2608,3810,3928,242,310,1526,1851
2009.08_비정규직,5783,879,724,2527,1652,2690,320,376,1211,783,3092,560,348,1316,869
2009.08_한시적,3528,523,407,1421,1177,1690,187,210,706,587,1838,335,197,715,590
2009.08_시간제,1428,267,174,684,303,367,64,60,183,60,1061,204,114,500,243
2009.08_비전형,2288,411,373,1044,459,1157,163,207,550,237,1131,249,167,494,222
2010.03_임금근로자,16744,1238,1339,6620,7547,9620,478,641,3809,4692,7124,760,698,2812,2855
2010.03_정규직,11220,439,657,4238,5886,7057,179,301,2669,3908,4163,261,356,1569,1977
2010.03_비정규직,5524,798,682,2383,1661,2563,299,340,1140,784,2961,499,342,1243,878
2010.03_한시적,3220,443,330,1259,1188,1552,157,162,640,593,1668,286,168,619,595
2010.03_시간제,1529,306,205,681,337,397,83,58,178,78,1132,224,147,503,259
2010.03_비전형,2186,387,361,1002,435,1145,167,208,538,231,1041,220,153,464,204
2010.08_임금근로자,17189,1306,1369,6878,7637,9870,499,678,3931,4762,7320,807,691,2947,2875
2010.08_정규직,11475,469,678,4384,5944,7210,192,325,2720,3973,4264,277,353,1664,1971
2010.08_비정규직,5715,837,691,2494,1693,2659,307,353,1211,789,3055,530,338,1283,904
2010.08_한시적,3298,462,325,1325,1186,1582,158,163,674,588,1716,304,162,651,599
2010.08_시간제,1623,324,188,735,376,425,78,53,207,88,1198,246,135,528,289
2010.08_비전형,2300,416,384,1044,456,1219,181,223,582,233,1081,235,161,462,223
2011.03_임금근로자,17252,1237,1385,6686,7943,9946,473,694,3814,4965,7305,764,691,2872,2978
2011.03_정규직,11427,449,681,4190,6108,7173,182,332,2598,4061,4254,266,349,1592,2047
2011.03_비정규직,5825,789,704,2497,1835,2773,291,362,1216,904,3052,498,342,1281,932
2011.03_한시적,3400,405,348,1309,1339,1684,150,180,666,688,1717,255,168,643,652
2011.03_시간제,1540,292,199,716,333,455,74,67,230,84,1085,218,132,486,249
2011.03_비전형,2334,410,390,1059,475,1192,163,220,566,242,1141,246,170,493,233
2011.08_임금근로자,17715,1262,1417,6928,8107,10168,472,696,3919,5081,7547,791,721,3010,3026
2011.08_정규직,11662,428,696,4306,6232,7349,171,337,2650,4191,4313,257,359,1656,2041
2011.08_비정규직,6053,835,721,2622,1875,2819,301,359,1269,891,3234,534,362,1354,985
2011.08_한시적,3474,436,357,1325,1357,1660,154,166,666,674,1814,282,191,659,682
2011.08_시간제,1708,327,210,788,383,470,78,66,240,86,1237,248,145,548,297
2011.08_비전형,2452,438,411,1141,462,1267,169,236,626,236,1185,269,176,515,226
2012.03_임금근로자,17645,1179,1358,6762,8346,10067,419,656,3840,5152,7578,760,702,2922,3194
2012.03_정규직,11782,427,681,4251,6422,7354,166,324,2625,4239,4428,261,357,1627,2183
2012.03_비정규직,5863,753,676,2511,1923,2712,253,332,1216,912,3151,500,345,1295,1011
2012.03_한시적,3424,406,333,1300,1385,1642,143,149,666,684,1782,263,184,634,702
2012.03_시간제,1710,312,208,765,426,469,72,58,232,108,1241,241,150,533,318
